"easting","northing","npoints","id","date","dist"
274635.66317021,5802291.77491062,58,"Sofi","2023-06-18",69.6021426862606
274500.949903647,5802191.52923508,28,"Sofi","2023-06-19",184.370399877334
274643.400889732,5802308.57692157,39,"Sofi","2023-06-19",184.370399877334
274568.99516874,5802210.93521538,183,"Sofi","2023-06-20",135.99043317892
274576.871811881,5802202.3043053,37,"Sofi","2023-06-21",106.960801899347
274469.946318005,5802205.05237777,57,"Sofi","2023-06-21",106.960801899347
274476.168328171,5802197.42341475,67,"Sofi","2023-06-22",83.0303513423642
274556.775975766,5802217.33437638,19,"Sofi","2023-06-22",83.0303513423642
274457.198787545,5802208.16237165,39,"Sofi","2023-06-23",53.7594787074075
274515.696231432,5802146.09263345,34,"Sofi","2023-06-24",51.9196618240204
274492.539310464,5802192.56206744,36,"Sofi","2023-06-24",51.9196618240204
274399.937321445,5802122.05719893,37,"Sofi","2023-06-25",107.581980877808
274474.265097526,5802135.4028222,26,"Sofi","2023-06-26",45.0271325248544
274490.105791912,5802093.25409666,48,"Sofi","2023-06-26",45.0271325248544
274434.347148443,5802130.83297303,43,"Sofi","2023-06-27",81.7006989090791
274532.581434659,5802112.46571056,20,"Sofi","2023-06-28",36.5753964829608
274558.012137402,5802116.65689407,23,"Sofi","2023-06-29",59.7187097637079
274549.691624734,5802175.79312125,37,"Sofi","2023-06-29",59.7187097637079
274493.158295655,5802073.82293471,36,"Sofi","2023-06-30",15.0489131276608
274557.707011816,5802138.7845496,25,"Sofi","2023-07-01",21.3425707323913
274558.01543927,5802137.33561862,25,"Sofi","2023-07-02",80.1680806419137
274592.758127489,5802209.58426407,21,"Sofi","2023-07-02",80.1680806419137
274555.78951348,5802133.17489808,21,"Sofi","2023-07-03",67.7660894334257
