"npoints","id","date","distance_previous","longitude","latitude"
71,"Koda",2023-03-21,115.973820800682,144.431930971858,-37.9037404129824
70,"Koda",2023-03-22,69.0523513492198,144.431190055507,-37.9039458690509
62,"Koda",2023-03-23,51.90332119167,144.431778692761,-37.9039137444218
70,"Koda",2023-03-24,10.9078772723668,144.43186492935,-37.9038431442172
69,"Koda",2023-03-25,14.8732950805501,144.43169591045,-37.9038466856094
63,"Koda",2023-03-26,5.23817934078878,144.431648133328,-37.903818524193
67,"Koda",2023-03-27,30.6624785393934,144.431395118505,-37.9040084958621
71,"Koda",2023-03-28,38.5670539569849,144.431708107694,-37.9037652352691
69,"Koda",2023-03-29,15.8719916127446,144.431867074315,-37.9038328641653
68,"Koda",2023-03-30,50.7475309120173,144.431461335013,-37.9041578074477
74,"Koda",2023-03-31,5.90672393051141,144.431410300341,-37.9041923835117
72,"Koda",2023-04-01,39.2395136853389,144.43105294988,-37.903980838081
68,"Koda",2023-04-02,49.0461377231089,144.431185105724,-37.9044100261383
58,"Koda",2023-04-03,50.6134036759007,144.431119454891,-37.9039571091086
63,"Koda",2023-04-04,41.3588595977336,144.431579832125,-37.9038814969938
68,"Koda",2023-04-05,13.4017849367964,144.431465148447,-37.9038020314885
65,"Koda",2023-04-06,72.3665569175542,144.432078435356,-37.9042364857732
66,"Koda",2023-04-07,43.1941188279443,144.431898868524,-37.9038743684577
65,"Koda",2023-04-08,670.217577340982,144.432974008638,-37.8978978672271
66,"Koda",2023-04-09,229.944958007457,144.433355851596,-37.8958488814014
66,"Koda",2023-04-10,70.6538800088815,144.432787115576,-37.8953995561556
64,"Koda",2023-04-11,218.155488308012,144.432317257033,-37.8973289731826
62,"Koda",2023-04-12,65.7376953174307,144.432725229144,-37.8978250569825
65,"Koda",2023-04-13,81.348223148702,144.433061335801,-37.8971424398644
65,"Koda",2023-04-14,40.8133882934752,144.432647235576,-37.8969767060088
66,"Koda",2023-04-15,45.5227522108848,144.43312003415,-37.8971433351791
58,"Koda",2023-04-16,2.5523264816772,144.43311204597,-37.8971212339778
65,"Koda",2023-04-17,45.3198758384116,144.432930344593,-37.8967392559259
63,"Koda",2023-04-18,48.437644569272,144.433055574802,-37.8971641178634
65,"Koda",2023-04-19,12.8806844795777,144.43307448189,-37.8970490677858
64,"Koda",2023-04-20,13.2834641413272,144.433150291584,-37.8971525432345
63,"Koda",2023-04-21,60.9966509239195,144.432529510055,-37.8973972386753
62,"Koda",2023-04-22,23.3118047723715,144.432328007927,-37.8975336021944
63,"Koda",2023-04-23,13.2193960904699,144.432363116565,-37.8974178255427
64,"Koda",2023-04-24,43.3238172314419,144.432811498605,-37.8975791933409
61,"Koda",2023-04-25,88.6474570682132,144.433632774582,-37.897116552405
62,"Koda",2023-04-26,109.093828810305,144.434502140543,-37.8964158338376
63,"Koda",2023-04-27,41.5444836002903,144.434150573927,-37.8961659994413
60,"Koda",2023-04-28,10.2308272104523,144.434170786734,-37.8960752488702
57,"Koda",2023-04-29,12.6491389234303,144.434138783492,-37.8959641712024
65,"Koda",2023-04-30,4.39926778442403,144.434151517482,-37.8960024908344
60,"Koda",2023-05-01,142.793853676401,144.43354136176,-37.8971943539993
60,"Koda",2023-05-02,156.884810959127,144.434562937222,-37.8960360852065
59,"Koda",2023-05-03,50.1987469871717,144.434204623425,-37.8963879756583
60,"Koda",2023-05-04,335.284962309188,144.437433878126,-37.897991880063
60,"Koda",2023-05-05,367.088700412186,144.434085083499,-37.8960193004013
60,"Koda",2023-05-06,176.720396589056,144.432104744585,-37.8957526530211
54,"Koda",2023-05-07,556.475101430069,144.437172499562,-37.8987522142291
52,"Koda",2023-05-08,510.463917144814,144.43234165013,-37.8962052430396
59,"Koda",2023-05-09,84.661739050573,144.433253660406,-37.8959618910987
60,"Koda",2023-05-10,20.8672312579862,144.433036041458,-37.8960366568703
60,"Koda",2023-05-11,33.1011900350421,144.432715860997,-37.8961932503423
54,"Koda",2023-05-12,11.024649327797,144.432687830705,-37.8962900377163
59,"Koda",2023-05-13,45.5752914531591,144.433069261498,-37.8960122580056
48,"Koda",2023-05-14,60.8002491208748,144.433694522768,-37.8957789750165
45,"Koda",2023-05-15,87.5873664310756,144.432739596518,-37.8960021131695
58,"Koda",2023-05-16,133.297625805025,144.432827653475,-37.8972007492693
60,"Koda",2023-05-17,46.7520175592715,144.432589721972,-37.8968242010794
56,"Koda",2023-05-18,102.140330838298,144.431453977393,-37.8970150948763
60,"Koda",2023-05-19,13.7010079509379,144.431421915866,-37.8971358617777
57,"Koda",2023-05-20,6.08277310979626,144.431490446275,-37.897128590476
59,"Koda",2023-05-21,16.1248739777718,144.43147303693,-37.8972731769579
59,"Koda",2023-05-22,9.97690624193846,144.431478985107,-37.8971834347009
58,"Koda",2023-05-23,67.9193297337055,144.432230981806,-37.8973218987107
56,"Koda",2023-05-24,101.374775098747,144.431101391334,-37.897502354613
57,"Koda",2023-05-25,25.3865419436512,144.430970844448,-37.8977062832603
54,"Koda",2023-05-26,18.2140688504817,144.431170146046,-37.8977507134597
55,"Koda",2023-05-27,26.630600641451,144.431117109293,-37.8975145515855
54,"Koda",2023-05-28,40.7967030275053,144.431066725306,-37.8978798482321
58,"Koda",2023-05-29,52.2122230862406,144.431652990128,-37.8979530339526
58,"Koda",2023-05-30,39.0250331936637,144.431209959681,-37.8979707917995
55,"Koda",2023-05-31,39.8400393923944,144.431233354494,-37.8976124160013
56,"Koda",2023-06-01,55.3575156250041,144.431831905199,-37.8977662498595
57,"Koda",2023-06-02,25.2883996358258,144.431843004849,-37.897538637063
56,"Koda",2023-06-03,108.775584791778,144.432777947146,-37.8981798055349
55,"Koda",2023-06-04,578.005241684607,144.433181763385,-37.9033762869275
55,"Koda",2023-06-05,9.0334703855419,144.433174272088,-37.9032951356803
56,"Koda",2023-06-06,26.3721780500842,144.433098384632,-37.9035249439317
