"id","date_bird","state1","state2","state3","state4","total","state1p","state2p","state3p","state4p"
"Koda","2022-12-18",354,20,0,1,375,0.944,0.0533333333333333,0,0.00266666666666667
"Nutmeg","2022-12-18",111,71,15,0,197,0.563451776649746,0.360406091370558,0.0761421319796954,0
"Robin","2022-12-18",212,197,8,0,417,0.508393285371703,0.47242206235012,0.0191846522781775,0
"Sage","2022-12-18",86,106,6,1,199,0.4321608040201,0.532663316582915,0.0301507537688442,0.0050251256281407
"Aurora","2022-12-19",0,81,10,1,92,0,0.880434782608696,0.108695652173913,0.0108695652173913
"Briar","2022-12-19",13,37,24,8,82,0.158536585365854,0.451219512195122,0.292682926829268,0.0975609756097561
"Iona","2022-12-19",66,33,12,0,111,0.594594594594595,0.297297297297297,0.108108108108108,0
"Koda","2022-12-19",157,43,0,1,201,0.781094527363184,0.213930348258706,0,0.00497512437810945
"Nutmeg","2022-12-19",35,84,12,0,131,0.267175572519084,0.641221374045801,0.0916030534351145,0
"Robin","2022-12-19",300,15,14,0,329,0.911854103343465,0.0455927051671733,0.0425531914893617,0
"Sage","2022-12-19",21,39,2,2,64,0.328125,0.609375,0.03125,0.03125
"Aurora","2022-12-20",28,25,11,4,68,0.411764705882353,0.367647058823529,0.161764705882353,0.0588235294117647
"Briar","2022-12-20",42,51,22,2,117,0.358974358974359,0.435897435897436,0.188034188034188,0.0170940170940171
"Iona","2022-12-20",55,38,0,0,93,0.591397849462366,0.408602150537634,0,0
"Koda","2022-12-20",121,23,0,0,144,0.840277777777778,0.159722222222222,0,0
"Nutmeg","2022-12-20",0,59,9,5,73,0,0.808219178082192,0.123287671232877,0.0684931506849315
"Robin","2022-12-20",0,63,13,1,77,0,0.818181818181818,0.168831168831169,0.012987012987013
"Sage","2022-12-20",53,12,8,6,79,0.670886075949367,0.151898734177215,0.10126582278481,0.0759493670886076
"Aurora","2022-12-21",32,33,18,5,88,0.363636363636364,0.375,0.204545454545455,0.0568181818181818
"Briar","2022-12-21",37,60,8,0,105,0.352380952380952,0.571428571428571,0.0761904761904762,0
"Iona","2022-12-21",88,23,0,0,111,0.792792792792793,0.207207207207207,0,0
"Koda","2022-12-21",35,50,16,1,102,0.343137254901961,0.490196078431373,0.156862745098039,0.00980392156862745
"Nutmeg","2022-12-21",31,47,0,3,81,0.382716049382716,0.580246913580247,0,0.037037037037037
"Robin","2022-12-21",0,78,9,1,88,0,0.886363636363636,0.102272727272727,0.0113636363636364
"Sage","2022-12-21",45,6,0,14,65,0.692307692307692,0.0923076923076923,0,0.215384615384615
"Aurora","2022-12-22",0,49,19,7,75,0,0.653333333333333,0.253333333333333,0.0933333333333333
"Briar","2022-12-22",0,43,3,3,49,0,0.877551020408163,0.0612244897959184,0.0612244897959184
"Iona","2022-12-22",31,58,0,0,89,0.348314606741573,0.651685393258427,0,0
"Koda","2022-12-22",0,105,0,2,107,0,0.981308411214953,0,0.0186915887850467
"Nutmeg","2022-12-22",0,78,0,4,82,0,0.951219512195122,0,0.0487804878048781
"Robin","2022-12-22",6,61,0,7,74,0.0810810810810811,0.824324324324324,0,0.0945945945945946
"Sage","2022-12-22",0,63,12,3,78,0,0.807692307692308,0.153846153846154,0.0384615384615385
"Aurora","2022-12-23",0,58,34,0,92,0,0.630434782608696,0.369565217391304,0
"Briar","2022-12-23",0,70,14,2,86,0,0.813953488372093,0.162790697674419,0.0232558139534884
"Iona","2022-12-23",0,89,0,0,89,0,1,0,0
"Koda","2022-12-23",0,64,0,5,69,0,0.927536231884058,0,0.072463768115942
"Nutmeg","2022-12-23",13,68,15,3,99,0.131313131313131,0.686868686868687,0.151515151515152,0.0303030303030303
"Robin","2022-12-23",0,50,3,11,64,0,0.78125,0.046875,0.171875
"Sage","2022-12-23",22,44,6,14,86,0.255813953488372,0.511627906976744,0.0697674418604651,0.162790697674419
"Aurora","2022-12-24",0,23,16,2,41,0,0.560975609756098,0.390243902439024,0.0487804878048781
"Briar","2022-12-24",55,47,6,10,118,0.466101694915254,0.398305084745763,0.0508474576271186,0.0847457627118644
"Iona","2022-12-24",83,26,0,0,109,0.761467889908257,0.238532110091743,0,0
"Koda","2022-12-24",72,50,0,4,126,0.571428571428571,0.396825396825397,0,0.0317460317460317
"Nutmeg","2022-12-24",130,67,5,3,205,0.634146341463415,0.326829268292683,0.024390243902439,0.0146341463414634
"Robin","2022-12-24",50,95,11,0,156,0.320512820512821,0.608974358974359,0.0705128205128205,0
"Sage","2022-12-24",16,72,5,1,94,0.170212765957447,0.765957446808511,0.0531914893617021,0.0106382978723404
"Aurora","2022-12-25",0,78,13,1,92,0,0.847826086956522,0.141304347826087,0.0108695652173913
"Briar","2022-12-25",39,50,7,1,97,0.402061855670103,0.515463917525773,0.0721649484536082,0.0103092783505155
"Iona","2022-12-25",57,41,7,0,105,0.542857142857143,0.39047619047619,0.0666666666666667,0
